DENOMINAÇÃO SOCIAL ,NOME DE PREGÃO,CÓDIGO,CNPJ,DATA REGISTRO,DATA DE CANCELAMENTO,ÚLTIMO ENDEREÇO E ; TELEFONE DA SEDE ,MOTIVO DO CANCELAMENTO
GIANNINI S.A.,GIANNINI,GIAN,61.196.119/0001-76,7/25/1986,9/20/1999,"Av. Tranquillo Giannini,700
; CEP: 13329-600
; Salto - SP 
; Tel.:  (11)7828-0710","Cancelou registro de Cia Aberta. O acionista controlador, Giorgio Coen Giannini realizou OPA na BOVESPA em 06/08/1999 ao preço de R$ 2,53 /mil."
GLOBAL TRUST S.A. CIA SECURIT CRED. FIN.,GLOBAL TRUST,GLTR,01.245.375/0001-84,8/4/1998,4/4/2000,"Av. Tenente Rebelo,675 - 5ºandar
; CEP: 21241 - 460
; Rio de Janeiro - RJ
; Tel.: (21)472-8481",Incorporada pela Globex Utilidades S.A. 
GRANÓLEO S.A. COMÉRCIO E  INDÚSTRIA DE SEMENTES OLEAGINOSAS E DERIVADOS,GRANOLEO,GRNL,88.925.029/0001-25,22/07/1983,3/11/2008,"Av. das Indústrias, 720 ; CEP:90200-290; Porto Alegre - RS; Tel.:(51)3371-7286","Cancelou registro de Cia. Aberta. O acionista controlador Sr. Shan Ban Chun realizou OPA na BOVESPA em 21/02/2008 ao preço de R$ 472,72 /mil ações."
GRÁPIA S.A.,GRAPIA,GRPA,00.313.162/0001-80,11/23/1995,1/13/1999,"Av. Rio Branco,138 - 13ºandar / Parte
; CEP: 20057-900
; Rio de Janeiro - RJ
; Tel.:  (21)508-4000",Cancelou registro de Cia Aberta. Aprovado por 100% dos acionistas. 
GRUÇAÍ PARTICIPAÇÕES S.A.,GRUCAI,GRUC,01.258.945/0001-70,8/28/1996,3/22/2018,R PAMPLONA 818 - CONJUNTO 92; CEP: 01405-001; São Paulo - SP; Tel.:(11)3556-5566,"Listagem cancelada na B3, nos termos do item 9.1 do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários (Regulamento). Em AGE realizada em 13/03/2018 foi aprovado o cancelamento de registro na B3."
GTD PARTICIPAÇÕES S.A.,GTD PART,GTDP,00.649.881/0001-76,1/22/1996,3/22/2005,"Praia do Flamengo,66  Bl.B /Sala 1509
; CEP: 22228 - 900 
; Rio de Janeiro - RJ 
; Tel.: (21)2556-2010 ",Mudou registro para Balcão Organizado (SOMA).
GUARANIANA S.A.,GUARANIANA,GNAN,01.083.200/0001-18 ,6/21/1996,12/26/2001,"Praia do Flamengo,78  - 3ºandar 
; CEP: 22210 - 030
; Rio de Janeiro - RJ
; Tel.: (21)3235-9800
",Alterou denominação social para Neoenergia S.A. Mudou registro para Balcão Organizado (SOMA).
GVT HOLDING S.A.,GVT HOLDING,GVTT,03.420.904/0001-64,6/9/2006,5/11/2010,"Rua Lourenço Pinto , 299  - 13º andar; CEP:80010-160; Curitiba - PR; Tel.:(41)3025-9900","Cancelou registro de Cia.aberta. A acionista controladora, Vivendi S.A., realizou OPA na BMFBOVESPA em 27/04/2010 ao preço de R$ 56,00 /ação."
HARPIA ÔMEGA PARTICIPAÇÕES S.A,HARPIA PART ,HPIA,13.407.573/0001-86,8/18/2011,6/13/2016,"Avenida Brigadeiro Faria Lima, 3477 - 14º andar; CEP: 04538-133; São Paulo-SP; Tel.: (11) 3383-2277",Cancelou registro de cia. aberta.
HIDROVIAS DO BRASIL S.A.,HIDROVIAS BR,HBSA,12.648.327/0001-53,12/26/2011,1/5/2017,"Rua Gilberto Sabino, 215. 7º andar; CEP: 05425-020; São Paulo-SP; Tel.: (11) 3905-6000",Não iniciou a negociação de seus valores mobiliários até o prazo máximo previsto no Regulamento para Listagem de Emissores e Admissão à Negociação de Valores Mobiliários da BM&FBOVESPA.
HOPI HARI S.A.,PQ HOPI HARI,PQTM,00.924.432/0001-99,2/13/1995,5/2/2017,Est Municipal Vinhedo/Itupeva 7001; Cep: 13280-000; Vinhedo-SP; Tel.:(19) 3836-9144,"Listagem cancelada na BM&FBOVESPA, nos termos do item 10.2 do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários (Regulamento), devido ao descumprimento de requisitos previstos no Regulamento."
HSBC SEGUROS BRASIL S.A.,HSBC SEG BR,BSEG,76.538.446/0001-36,7/10/1981,12/27/2000,"Trav. Oliveira Belo,34 - 2ºandar
; CEP: 80020  - 030
; Curitiba - PR 
; Tel.: (41)321-8843 ","Cancelou registro de Cia Aberta . O acionista controlador, HSBC Bank Brasil S.A. - Banco Múltiplo realizou OPA na BOVESPA em 07/12/2000 ao preço de R$ 14,67 /ação."
HUSKY S.A.,HUSKY,JOIN,84.685.189/0001-93,8/26/1987,7/23/2003,"Rua Rolf Colin,109
; CEP: 89204 - 070
; Joinville - SC 
; Tel.: (47)433-4011",Falta de atualização do registro perante a BOVESPA.
IDEROL S.A. EQUIPAMENTOS RODOVIÁRIOS,IDEROL,IDRL,49.058.555/0001-83,8/3/1993,2/9/1999,"Av. Pres. Tancredo de Almeida Neves,851
; CEP: 07190-915
; Guarulhos - SP
; Tel.:  (11)6468-8866",Falta de atualização do registro perante a BOVESPA.
IKPC-INDS KLABIN DE PAPEL E CELULOSE S.A.,KLABIN,KLAB,60.484.797/0001-71,11/5/1979,4/18/2002,"Rua Formosa,367 - 
12ºandar
; CEP: 01075 - 900
; São Paulo - SP 
; Tel.: (11)3225-4019","Incorporada pela Klabin S.A. (atual denominação social da Klabin Riocell S.A.). Cada ação foi substituída por uma ação da Klablin S.A., obervando a espécie."
IMPÉRIO LISAMAR S.A. IND.COM. ALIMENTOS,IMPERIO,IMPE,33.123.118/0001-66,9/21/1994,4/27/1999,"Av. Prefeito Sá Lessa,550
; CEP: 21530-040
; Rio de Janeiro - RJ 
; Tel.:  (21)361-2777",Falta de atualização do registro perante a BVRJ.
INBRAC S.A. CONDUTORES ELÉTRICOS,INBRAC,IBRC,61.081.972/0001-42,6/13/1986,3/8/2002,"Estr. de Jacareí/Sta. Branca - Km 12 S/N
; CEP: 12380 - 000
;Santa Branca - SP
; Tel.: (12)3972-6000
","Cancelou registro de Cia Aberta . O acionista controlador, Rupar Participação Administração e Representação Ltda. realizou OPA na BOVESPA em 14/02/2002 ao preço de R$ 1,00 /mil ações.
"
IND.BEBIDAS ANTARCT. NORTE-NORDESTE S.A.,ANTARCT NORD,IBAN,15.182.652/0001-61,10/8/1979,12/19/2001,"Rua João Úrsulo,1620
; CEP: 42810 - 000
;Camacari - BA 
; Tel.: (71)632-9937","Incorporada pela Companhia de Bebidas das Américas - AMBEV. Cada lote de mil ações foi substituído por 848,241138 ações da AMBEV, observada a espécie."
IND.BEBIDAS ANTARCTICA POLAR  S.A.,POLAR,POLA,95.424.479/0001-08 ,1/3/1972,6/4/2001,"Av. Berlim,409
; CEP: 90240 - 581
; Porto Alegre - RS
; Tel.: (51)346-4633","Cancelou registro de Cia Aberta . O acionista controlador, Companhia de Bebidas das Américas - AMBEV realizou OPA na BOVESPA em 17/04/2001 ao preço de R$ 2,69 /ação."
INDS.TÊXTEIS BARBERO S.A.,TEBA,TBAS,71.444.681/0001-25,11/18/1985,11/6/2002,"Av. Comendador Barbero,596
; CEP: 18025 - 530
; Sorocaba - SP 
; Tel.: (27)3346-1800",Falta de atualização do registro perante a BOVESPA.
INDÚSTRIA DE BEBIDAS ANTARCTICA RIO GRANDE DO NORTE S.A.,ANTARCTIC RN,ANRN,08.473.852/0001-08,5/4/1990,1/15/1999,"Est. RN 160 - Km 06, S/N
; CEP: 59290-000 
; São Gonçalo Amarante  - RN
; Tel.: (84)220-3000","Cancelou registro de Cia Aberta. O acionista controlador, Companhia Antarctica Paulista realizou OPA na BOVESPA em 22/12/1998 mediante permuta por ações de emissão da Antarctica do Nordeste S.A., observada a relação de troca na proporção de uma ação de emissão da Antarctica do Nordeste para cada 1,824853576 ações da Antarctica do Rio Grande do Norte."
INDUSTRIAS ARTEB S.A.,ARTEB,ATBS,62.291.380/0001-18,28/11/1996,28/01/2010,"Av. Piraporinha, 1.221 ; CEP:09891-903; São Bernardo do Campo - SP; Tel.:(11)4341-9948","Cancelou regsitro de Cia Aberta. O acionista controlador, Artur Eberhardt S.A., realizou OPA na BM&FBOVESPA em 11/01/2010 ao preço de R$ 0,30 /ação ON.
"
INDÚSTRIAS DE BEBIDAS ANTARCTICA DA PARAÍBA S.A.,ANTARCTIC PB,ANPB,09.259.821/0001-11,6/10/1987,1/15/1999,"Av. Dr. Walter Belian,2230 
; CEP: 58082-005 
; João Pessoa - PB
; Tel.: (83)233-1010","Cancelou registro de Cia Aberta. O acionista controlador, Companhia Antarctica Paulista realizou OPA na BOVESPA em 22/12/1998 mediante permuta por ações da Antarctica do Nordeste S.A., observada a relação de troca na proporção de uma ação da Antarctica do Nordeste para cada 1,608963632 ações da Antarctica da Paraíba. "
INDÚSTRIAS DE BEBIDAS ANTARCTICA DO PIAUÍ S.A.,ANTARC  PIAUI,IBPI,05.234.760/0001-87,4/16/1984,1/15/1999,"Av. Henry Wall de Carvalho,7220
; CEP: 64022-050
; Teresina - PI
; Tel.:  (86)227-2354","Cancelou registro de Cia Aberta. O acionista controlador, Companhia Antarctica Paulista realizou OPA na BOVESPA em 22/12/1998, mediante permuta por ações da Antarctica do Nordeste S.A., observada a relação de troca na proporção de uma ação da Antarctica do Nordeste para cada 0,229122443 ação da Antarctica do Piauí. "
INDÚSTRIAS DE BEBIDAS ANTARCTICA MINAS GERAIS S.A.,ANTARCTIC MG,ALTE,17.317.686/0001-41 ,7/14/1981,1/15/1999,"Av. Thales Chagas,2070
; CEP: 33200-000 
; Vespasiano - MG
; Tel.:  (31)621-2133","Cancelou registro de Cia Aberta. O acionista controlador, Companhia Antarctica Paulista realizou OPA na BOVESPA em 22/12/1998 mediante permuta por ações da Antarctica do Nordeste S.A. observada a relação de troca na proporção de uma ação da Antarctica do Nordeste para cada 0,477149930 ação da Antarctica de Minas Gerais."
INDUSTRIAS MICHELETTO S.A.,MICHELETTO,LETO,88.301.163/0001-55,1/7/1972,27/06/2008,"Rua Guilherme Schell, 10.740 ; CEP:92420-000; Canoas - RS; Tel.:(51)3477-4411","Cancelou registro de Cia Aberta. O acionista controlador, Comafal Comércio Empreendimentos e Participações S.A. realizou OPA na BOVESPA em 17/06/2008 ao preço de R$ 2,06 /mil ações."
INDÚSTRIAS VELROME ISHIBRÁS S.A.,I V I ,VRLM,28.500.320/0001-20,6/13/1986,3/18/1999,"Rua General Gurjão,02
; CEP: 20936-900
; Rio de Janeiro - RJ
; Tel.:  (21)585-5445",Falta de atualização do registro perante a BVRJ.
INEPAR ENERGIA S.A.,IENERGIA,IENG,02.225.714/0001-23,3/6/1998,3/1/2012,"Al Dr. Carlos de Carvalho, 373 13º andar - Cj: 1301; CEP:80410-100; Curitiba - PR; Tel.:(41) 3025-1316","Incorporada pela Inepar S.A. Indústria e Construções. Foi concedido o direito de retirada aos acionistas dissidentes no período compreendido entre 20/12/2011 a 19/01/2012, no valor de R$ 0,1742260 por ação."
INEPAR-FEM EQUIPAMENTOS E MONTAGENS S.A.,INEPAR-FEM,INFM,02.258.422/0001-97,6/16/1999,4/26/2004,"Rua da Alfândega,12 - 4ºandar / Parte
; CEP: 20007 - 000
; Rio de Janeiro - RJ
; Tel.: (21)2206-5252 
 ","Incorporada pela Inepar S.A. Indústrias e Construções. Cada ação ON ou PN foi substituída por 47,13 ações PN da Inepar S.A. Indústrias e Construções."
INFINITY BIO-ENERGY BRASIL PARTICIPAÇÕES S.A.,INFINITY,IBIO,07.704.069/0001-45,16/10/2008,27/11/2008,"Rua Funchal, , 418 - 24º andar; CEP:04551-060; São Paulo - SP; Tel.:(11)3525-9900",Cancelou registro de Cia Aberta. Não estava admitida à cotação na BOVESPA. 
INFRASEC SECURITIZADORA S.A.,INFRASEC,IFSC ,10.488.244/0001-19,12/29/2009,1/5/2017,"Rua Padre João Manuel, 923, 11º andar; CEP: 01411-001; São Paulo-SP; Tel.: (11) 3060-9177",Não iniciou a negociação de seus valores mobiliários até o prazo máximo previsto no Regulamento para Listagem de Emissores e Admissão à Negociação de Valores Mobiliários da BM&FBOVESPA.
INTERCEMENT BRASIL S.A.,INTERCEMENT,CCCI,62.258.884/0001-36,24/01/2005,8/4/2011,"Av. Nações Unidas , 12.495 13º e 14º andares/ Torre A; CEP:04578-000; São Paulo - SP; Tel.:(11)3718-4330",Cancelou o registro de cia. aberta. 
INTERNATIONAL MEAL COMPANY HOLDINGS S.A.,IMC HOLDINGS,IMCH,08.936.792/0001-12,18/12/2009,31/03/2010,"Rua Alexandre Dumas, 1711  - 2º andar; CEP:04717-004; São Paulo - SP; Tel.:(11)3041-9538",Cancelou registro de Cia Aberta. Não estava admitida à cotação na BM&FBOVESPA.
INTERNATIONAL MEAL COMPANY HOLDINGS S.A.,IMC HOLDINGS,IMCH,08.936.792/0001-12,3/3/2011,4/20/2015,"Rua Alexandre Dumas, 1711  - 2º andar; CEP:04717-004; São Paulo - SP; Tel.:(11)3041-9500",Incorporada pela International Meal Company Alimentação S.A.. Cada ação foi substituída por 1 (uma) ação da International Meal Company Alimentação S.A..
INVESTCO S.A.,INVESTCO ,INVT,00.644.907/0001-93,2/21/2002,8/21/2017,Rod To Miracema - KM 23; CEP; 77650-000; Miracema do Tocantins-TO; Tel.: (63) 3311-3407,"Listagem cancelada na B3, nos termos do item 9..3 (f) do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários."
INVESTEC S.A.,INVESTEC,IVTE,46.112.488/0001-40,11/4/1985,5/17/1999,"Av. Paulista,453 - 3ºandar
; CEP: 01311-907
; São Paulo - SP 
; Tel:(11)269-5230","Cancelou registro de Cia Aberta. O acionista controlador, Brasilpar Participações e Negócios Ltda. realizou OPA na BOVESPA em 15/04/1999 ao preço de R$ 51,19 /ação."
IRIRI PARTICIPAÇÕES S.A.,IRIRI,IRRI,01.545.832/0001-56,2/21/1997,9/10/2001,"Av. Brigadeiro Faria Lima,3729 - 7ºandar
; CEP: 04538 - 905
; São Paulo - SP 
; Tel.: (11)3049-5585",Cancelou registro de Cia Aberta . Aprovado por 100% dos acionistas.
ISEC SECURITIZADORA S.A.,ISEC ,IMWL,08.769.451/0001-08,7/2/2007,1/5/2017,"Rua Tabapuã, 1123, 21º andar-Conjunto 215; CEP: 04533-004;São Paulo-SP; Tel.: (11) 3320-7474",Não iniciou a negociação de seus valores mobiliários até o prazo máximo previsto no Regulamento para Listagem de Emissores e Admissão à Negociação de Valores Mobiliários da BM&FBOVESPA.
ITAITINGA PARTICIPAÇÕES S.A.,ITAITINGA,SQRM,01.258.943/0001-81,11/7/1996,3/22/2018,R PAMPLONA 818 - CONJUNTO 92; CEP: 01405-001; São Paulo - SP; Tel.:(11)3556-5566,"Listagem cancelada na B3, nos termos do item 9.1 do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários (Regulamento). Em AGE realizada em 13/03/2018 foi aprovado o cancelamento de registro na B3."
ITAUBANK LEASING S.A. ARRENDAMENTO MERCANTIL,ITAUBANK LS,LBBO,43.443.464/0001-85,13/06/1996,23/09/2009,"Alameda Araguaia, 730 ; CEP:06455-000; Barueri - SP; Tel.:(11)5019-1240",Cancelou registro de Cia Aberta. Não estava admitida à cotação na BMFBOVESPA.
ITAUSEG PARTICIPACOES S.A.,ITAUSEG,ITSP,07.256.507/0001-50,1/5/2006,12/10/2012,"Praça Alfredo Egydio Souza Aranha, 100 Torre Conceição/ 7º andar ; CEP: 04344-902 ; São Paulo -SP ; Tel.: (11) 5019-9872",Cancelou registro de cia. aberta.
ITAUTEC S.A. - GRUPO ITAUTEC,ITAUTEC ,ITEC,54.526.082/0001-31,11/18/1985,6/24/2019,"Avenida Paulista, 1938 - 5º andar/parte; CEP: 01310-942; São Paulo -SP; Tel.: (11) 3543-4000",Incorporada pela Itaúsa – Investimentos Itaú S.A. . Cada ação foi substituída por 1 ação PN de emissão da Itaúsa
ITINGA PARTICIPAÇÕES S.A.,ITINGA,ITIN,01.545.830/0001-67 ,2/21/1997,3/10/1999,"Estr. do Campo Limpo,407
; CEP: 05744-000
; São Paulo - SP 
; Tel.:  (11)5511-9011",Cancelou registro de Cia Aberta. Não realizou OPA por não haver ações em circulação no mercado.
ITIQUIRA ENERGÉTICA S.A.,ITIQUIRA,ITQR,00.185.041/0001-08,8/8/2000,2/4/2009,"Rodovia BR 163 - KM 48,  ; CEP:78790-000; Itiquira - MT; Tel.:(66)3423-5751",Cancelou registro de Cia Aberta . Aprovado por 100% dos acionistas.
IVEN S.A.,IVEN,IVEN,97.395.172/0001-43,17/05/1994,22/11/2005,"Rua Bandeira Paulista, 530  - 14° andar / Parte; CEP:04532-001; São Paulo - SP; Tel.:(11)2185-5919","Incorporada pela EDP - Energias do Brasil. Cada ação foi substituída por 0,036036342 ação ON da EDP - Energias do Brasil S.A., independente da espécie. "
JARAGUÁ FABRIL S.A.,JARAGUA FABR,JFAB,84.432.426/0001-04,1/8/1986,8/12/2004,"Rua Jorge Czerniewicz,590
; CEP: 89250 - 000
; Jaraguá do Sul - SC
; Tel.: (47)371-8955 ",Falta de atualização do registro perante a BOVESPA.
JARI CELULOSE  S.A.,JARI,JARI,04.815.734/0001-80,9/19/1994,7/12/1999,"Rua Cem, S/N  Sala A
; CEP: 68240-000
; Almerim - PA 
; Tel.:  (91)736-6263",Mudou registro para Balcão Organizado (SOMA).
JP PARTICIPACOES S.A.,LFPARTICIP ,MLPP,15.463.423/0001-15,11/22/2013,12/30/2014,"Rua Angelina Maffei Vita, 200 - 9º andar; CEP: 01455-070; São Paulo-SP; Tel.: (11) 3137-7000","Incorporada pela Jereissati Participações S.A.Cada ação ON da Companhia foi substituída por 0,1972 ação ON e por 0,2028 ação PN de emissão da Jereissati Participações S.A."
JPSP INVESTIMENTOS E PARTICIPAÇÕES S.A.,LA FONTE TEL,LFFE ,53.790.218/0001-53,1/21/1985,7/28/2017,"Rua Angelina Maffei Vita, 200 -9º andar; CEP:01455-070; São Paulo-SP; Tel.:(11) 3137-7067","Cancelou registro de cia aberta. A Jereissati Participações S.A. realizou OPA na B3 em 19/06/2017 ao preço de R$ 1,02 /ação. "
JUNGFRAU PARTICIPAÇÕES S.A.,JUNGFRAU,JUNG,00.627.379/0001-64,6/16/1995,7/27/1999,"Av. Pedroso de Moraes,433 - 16ºandar / Cjto.121
; CEP: 05419-000
; São Paulo - SP
; Tel.:  (11)870-0888",Cancelou registro de Cia Aberta. Mudando para sociedade por quotas de responsabilidade limitada.
KALIL SEHBE S.A. IND.DO VESTUÁRIO,KALIL SEHBE,SEBE,88.610.779/0001-08,4/15/1981,2/19/1999,"Rua Marechal Floriano,889
; CEP: 95020-370
; Caxias do Sul - RS
; Tel.:  (54)223-3066",Registro cancelado pela BVES. A BOVESPA cancelou autorização para negociação em 09/02/1999. 
KAROON PETRÓLEO E GÁS S.A.,KAROONBRASIL,KRBR,09.347.916/0001-97,11/9/2010,24/06/2011,"Rua Visconde de Pirajá, 303 - Sala 904; CEP:2240-003; Rio de Janeiro - RJ; Tel.:(21)2103-4503",Cancelou o registro de cia aberta. Não admitida à cotação. 
KLABIN SEGALL S.A.,KLABINSEGALL,KSSA,00.187.032/0001-48,14/08/2006,13/09/2010,"Rua Gomes de Carvalho, 1510 ; CEP:04547-005; São Paulo - SP; Tel.:(11)3296-0100","Incorporada pela Agre Empreendimentos Imobiliários S.A. Cada 1,591714062 ações ON foram substituídas por uma ação ON da Agre Empreendimentos Imobiliários S.A. "
KUALA S.A. ,KUALA,ARTE,82.640.723/0001-10,3/4/1964,7/5/2006,"Rua Republica Argentina, 751 ; CEP:89050-100; Blumenau - SC; Tel.: (47)326-7051","Cancelou registro de Cia Aberta. A acionista controladora Polônia Participações S.A. realizou OPA na BOVESPA em 26/06/2006 ao preço de R$ 6,60 /ação ON ou PN, a ser atualizado pela TR mais 6% a.a., calculado pró rata-temporis desde 14/02/2006, data em que o preço da oferta foi divulgado ao mercado, até a data da liquidação financeira do Leilão."
LABO ELETRÔNICA S.A.,LABO,LAEL,61.489.514/0001-47,4/17/1986,1/22/2004,"Rua Ribeirão Pires,331
; CEP: 9580 - 690
; São Caetano do Sul - SP 
; Tel.: (11)4232-2400
",Falta de atualização do registro perante a BOVESPA.
LAEP INVESTMENTS LTD.,LAEP ,MILK,08.904.552/0001-36,10/29/2007,3/6/2017,Claredon House 2 - Church Street; -; Hamilton - Bermudas; -,"Listagem cancelada na BM&FBOVESPA, nos termos do item 10.2 do Regulamento para Listagem de Emissores e Admissão de Valores Mobiliários (Regulamento), devido ao descumprimento de requisitos previstos no Regulamento."
LANIFÍCIO SEHBE S.A. INDS. E EXPORTAÇÃO,LANIF SEHBE,LSEH,91.664.706/0001-03,3/1/1984,2/19/1999,"Br 116 - Km 160 
; CEP: 95090-050
; Caxias do Sul - RS
; Tel.:  (54)284-1211",Registro cancelado pela BVES. A BOVESPA cancelou autorização para negociação em 09/02/1999. 
LARK S.A. MAQUINAS E EQUIPAMENTOS,LARK MAQS ,LARK,60.631.090/0001-40,12/27/1972,12/20/2013,"Rua Engenheiro Antônio Jovino, 220 - 4º andar; CEP: 05727-220; São Paulo-SP; Tel.: (11) 3318-3510","Cancelou registro de cia. Aberta, em virtude da decretação de sua falência."
Latam Airlines Group S.A.,LATAM AIRLN ,LATM,33.937.681/0001-78,9/2/2011,7/28/2016,"Av. Presidente Riesco, 5711 – 20º andar; Santiago-Chile; Tel.:  +565 5653944",Programa de BDR´S cancelado pela CVM. 
LATINTECH CAPITAL S.A.,LATINTECH,LTEC,02.628.033/0001-06,7/14/2000,6/18/2001,"Rua Visconde de Pirajá,414 
Salas 1403 A 1413
; CEP: 20410 - 002
; Rio de Janeiro - RJ
; Tel.: (21)525-2100","Cancelou registro de Cia Aberta . Aprovado por 100% dos acionistas, não estava admitida à cotação na BOVESPA."
LF TEL S.A.,LF TEL ,PITI,02.390.206/0001-09,7/2/1998,12/22/2014,"Rua Angelina Maffei Vita, 200 - 9º andar/parte; CEP: 01489-900; São Paulo-SP; Tel.: (11) 3137-7067",Cancelou registro de cia. aberta.
LIGÁS DE ALUMÍNIO S.A. LIASA,LIASA,LIAS,17.221.771/0001-01,10/2/1986,7/17/2003,"Av. Dr. José Patrus de Sousa,1000
; CEP: 39270 - 000
; Pirapora - MG
; Tel.: (38)3741-1155","Cancelou registro de Cia Aberta . O acionista controlador, José Patrus Participações Ltda. realizou OPA na BOVESPA em 27/06/2003 ao preço de R$ 31,51 /mil ações."
LINHA AMARELA S.A. LAMSA,LAMSA,LMSA,00.974.211/0001-25,2/2/1998,5/14/2003,"Av. Governador Carlos Lacerda,S/N
; CEP: 20745 - 150
; Rio de Janeiro - RJ
; Tel.: (21)2596-5166 
 ",Cancelou registro de Cia Aberta . Aprovado por 100% dos acionistas.
LITEL PARTICIPAÇÕES S.A.,LITEL,LTEL,00.743.065/0001-27,10/18/1995,12/26/2000,"Av. Almirante Barroso,52 - 33ºandar / Parte
; CEP: 20031 - 918
; Rio de Janeiro - RJ
; Tel.: (21)2510-9999 ",Mudou registro para Balcão Organizado (SOMA).
LIVRARIA DO GLOBO S.A.,LIVR GLOBO,LGLO,92.724.053/0001-73,17/08/1973,18/02/2011,"Rua Jose Montauri, 101 4º andar; CEP:90010-090; Porto Alegre - RS; Tel.:(51) 3025-6000",Falta de atualização do registro perante a BMFBOVESPA.
LOJAS ARAPUÃ S.A.,LOJAS ARAPUA,LOAR,00.354.053/0001-00,10/9/1995,5/25/2000,"Rua Sergipe,475 - 9ºandar / Sala 905
; CEP: 01243 - 912
; São Paulo - SP 
; Tel.: (11)5505-2644 ",Falta de atualização do registro perante a BOVESPA.
LOJAS BRASILEIRAS S.A.,LOBRAS,LOBR,33.005.703/0001-61,12/22/1971,8/6/1999,"Rua James Holland,422/432
; CEP: 11380-000
; São Paulo - SP 
; Tel.:  (11)3660-6150","Cancelou registro de Cia Aberta. O acionista controlador, Begoldi Com. Part. Adm. Ltda. realizou OPA na BOVESPA em 13/07/1999 ao preço de R$ 202,62 /mil ações."
LOJAS HERING S.A.,LOJAS HERING,LHER,82.640.632/0001-84,5/12/1986,5/15/2019,"Rua XV de Novembro, 759 - 3º andar; CEP: 89010-902; Blumenau - SC; Tel.:(47) 3035-3000","Cancelou registro de cia aberta. A companhia e a Sra. Edda Elisa Steinach realizaram OPA na B3 em 02/05/2019 ao preço de R$ 145,00 /ação. "
M G POLIESTER S.A.,M G POLIEST ,RHDS,56.806.656/0001-50,9/8/1994,10/22/2014,"Avenida das Nações Unidas, 12551, 8º andar-parte; CEP:04578-903; São Paulo-SP; Tel.: (11) 2111-1300","Cancelou registro de cia aberta. A acionista Mossi & Ghisolfi International S.a.r.l realizou OPA na BMFBOVESPA em 16/09/2014 ao preço de R$ 114,23 por lote de mil ações. "
M ROSCOE S.A. ENG. IND. E COMÉRCIO,M ROSCOE,MROE,17.155.151/0001-11,6/1/1983,2/22/2002,"Av. do Contorno,6664 - 
10ºandar
; CEP: 30110 - 110
; Belo Horizonte - MG 
; Tel.: (31)3269-4011","Cancelou registro de Cia Aberta . O acionista controlador, Paraúna Participações Ltda. realizou OPA na BOVESPA em 14/12/2001 ao preço de R$ 0,40 /mil ações."
MADEF S.A. INDÚSTRIA E COMÉRCIO,MADEF,MDEF,92.696.418/0001-01 ,6/4/1979,2/19/1999,"Rua Liberdade,1315
; CEP: 92020-240
; Canoas - RS 
; Tel.:  (51)477-2399",Falta de atualização do registro perante a BVES.
MADEZORZI S.A.,MADEZORZI,MDZZ,88.610.159/0001-79,9/10/1984,2/19/1999,"Est. Federal Br 116 - Nº 7421
; CEP: 95090-050
; Caxias do Sul - RS
; Tel.:  (54)222-3122",Registro cancelado pela BVES. Não estava admitida à cotação na BOVESPA. 
MAGNESITA REFRATARIOS S.A.,MAGNESITA SA,MAGG,08.684.547/0001-65,2/19/2008,1/28/2019,"Praça Loius Ensch, 240; CEP: 32210-902; Contagem - MG; Tel. :(11) 3152-3241",Cancelou o registro de cia aberta.A Dutch Brasil Holding B.V realizou OPA na B3 em 10/12/2018.
MAGNESITA S.A.,MAGNESITA,MAGS,19.791.268/0001-17,16/03/1967,18/04/2008,"Rua Mario Veloso, 502 ; CEP:39401-063; Montes Claros - MG; Tel.:(38)3212-1223","Incorporada pela Magnesita Refratários S.A. ( atual denominação da RPAR Holding S.A.). Cada uma ação ON foi substituída por 64,48102 ações ON da Magnesita Refratários S.A. e uma ação PNA ou PNC foi substituída por 50,10692 ações ON da Magnesita Refratários S.A."
MAHLE COFAP ANÉIS S.A.,MAHLE COFAP,MLCF,03.002.935/0001-03,1/12/2000,1/16/2003,"Av. João Ramalho,2800
; CEP: 09371 - 904
; Mauá - SP 
; Tel.: (11)4998-7000","Cancelou registro de Cia Aberta . O acionista controlador, Mahle Indústria e Comércio Ltda. realizou OPA na BOVESPA em 30/12/2002, ao preço de R$ 18,00 /ação."
MAÍSA PARTICIPAÇÕES S.A.,MAISA PART,MPAR,70.036.132/0001-59,3/14/1997,2/20/2003,"Br 304 - Km 09
; CEP: 59600 - 970
;Mossoró - RN
; Tel.: (84)323-1123",Registro cancelado pela BVRG por falta de atualização de registro. Não estava admitida à cotação na BOVESPA.
MAKRO ATACADISTA S.A.,MAKRO,MAKR,47.427.653/0001-15,4/13/1995,3/8/2002,"Rua Carlos Lisdegno Carlucci,519
; CEP: 05536 - 900
; São Paulo - SP 
; Tel.: (11)3745-2818 
",Cancelou registro de Cia Aberta . Não realizou OPA . 
